,player_id,catches_taken_ema,run_out_direct_ema,run_out_throw_ema,stumpings_done_ema,balls_bowled_ema,runs_conceded_ema,wickets_taken_ema,maidens_ema,runs_scored_ema,balls_faced_ema,fours_scored_ema,sixes_scored_ema,fantasy_score_total_ema
3,00015688,0.5641679012345681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.551743209876544,20.721422222222227,0.6509629629629631,0.0,11.11693827160494
11,00029c30,0.0,0.0,0.0,0.0,11.726242238683128,14.373773519890264,0.7300862770919068,0.0,0.4914962962962963,0.9978225075445818,0.0,0.0,24.34930137722909
12,0019ca13,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
33,0030a57d,0.43187456584463957,0.0,0.07921770472831717,0.2284094431242727,0.0,0.0,0.0,0.0,0.5328600527818393,1.714247835362411,0.0,0.0,10.327927206971458
64,00321fff,0.10509362855546703,0.0,0.0,0.0,16.287324454258723,19.54232010100123,0.7698812503020233,0.011565020278040721,1.3394139980766346,2.0540467070332924,0.12195684964897978,0.0,29.48999114360228
69,00335246,0.5641679012345681,0.0,0.0,0.0,11.560533333333336,18.107753086419756,0.3759407407407408,0.0,0.0,0.0,0.0,0.0,21.520276543209878
132,003d49e6,0.43310546955903706,0.0,0.002425478043983147,0.0,11.345917126092298,15.069813005355886,0.21848808037818448,0.19175418686299453,8.570243910380208,6.679493341908103,0.7068834430760015,0.39881909389667075,23.4890174153198
137,003dbe99,0.0,0.0,0.0,0.0,20.57611851851852,23.754804938271608,0.0,0.0,8.123140740740741,13.032375308641978,0.24888888888888888,0.0,8.572325925925925
138,003e7738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,3.0,0.0,20.0
139,003fe1d7,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
168,00467a76,0.5369861426095345,0.0,0.0,0.0,20.012909154108893,26.16483101470451,1.264985088105264,0.0,1.6708573085493714,2.074659490991029,0.13545344304494067,0.004299213121972159,47.045023505004416
224,004c9e85,0.20875987930667694,0.0,0.010145569146710406,0.0,0.0,0.0,0.0,0.0,23.82056286011006,31.981687954299023,2.5463193878218275,0.1592362134004505,32.92121190048483
229,00547789,0.0,0.0,0.0,0.0,18.498646913580252,17.070637037037038,0.7377580246913581,0.0,0.7919407407407408,3.828483950617285,0.0,0.0,30.231367901234577
256,005f0561,0.13004446537282627,0.0013683768575644974,0.009442253223232052,0.0,21.285462820881218,18.676234709370313,1.0461338020901956,0.20352395292000902,2.2890844518524824,4.5342556944992225,0.15317970038252293,0.0,41.70065566827003
338,007113d7,0.2629082779638338,0.04568693275634022,3.3573269541987425e-06,0.0,7.744698125428346,7.469448470633964,0.23282782248626976,0.020456172564075066,35.32024986528986,40.059908268872945,3.7345418613677053,0.88507733869059,55.06126946384316
354,00741bc7,0.13333333333333333,0.0,0.0,0.0,18.951111111111114,28.76,0.7511111111111112,0.0,0.0,0.0,0.0,0.0,23.115555555555556
355,00755e00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,36.0,3.0,0.0,17.0
361,00757ae7,0.3815558847736626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.9004246913580247,0.13333333333333333,0.0,4.109671769547325
362,0075a47b,0.8711677366255146,0.11555555555555556,0.0,0.7978524444444446,0.0,0.0,0.0,0.0,3.5952702331961595,7.784626128943761,0.13333333333333333,0.0,22.351880340192047
369,0077eaa3,0.7511111111111112,0.0,0.0,0.0,12.0,13.266666666666667,0.24888888888888888,0.0,0.0,0.13333333333333333,0.0,0.0,17.697777777777777
375,00784913,0.500585741929584,0.10014814814814815,0.0,0.0,38.17355970077732,31.02003988952904,1.4469656815729308,0.10014814814814815,2.025692883401921,4.230372808047554,0.2069451442158208,0.05650037055326933,47.09872663996343
415,0079f139,0.048516647064541306,0.023942189044925583,0.15283774387622504,0.0,0.0,0.0,0.0,0.0,6.627374895595957,12.673551969664436,0.7098741738835754,0.012028301453649554,9.036890359013352
439,007a3773,0.36378979975214815,0.0,0.0,0.0,1.271111111111111,1.1555555555555554,0.0,0.0,1.6325227213088451,3.358118743073498,0.08679506172839507,0.0,7.279913202574477
453,007f121f,0.15562422879201632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.542387582160497,13.464369855259946,0.6495354895017766,0.0,14.477543280328252
599,00823a96,0.7193044163305317,0.036444643711101045,0.21826359708103407,0.0,39.147694131601035,33.921874352319776,1.2129817963993548,0.3560298375371741,8.922551623227378,9.739071170769598,0.9406433137240613,0.00026455014196139187,58.60236882216836
607,00852db7,0.0,0.0,0.0,0.0,22.10812839506173,27.37807407407407,0.38723950617283953,0.0,0.11555555555555556,1.1911111111111112,0.0,0.0,16.83693827160494
614,008589a4,0.05650037055326933,0.0,0.0,0.0,35.07326039323274,27.053834801085205,1.2094999586648378,1.0757908722694713,10.97248684617589,16.91673641359549,0.54881903943911,0.0651927352537723,55.42274680606006
644,0085a7ce,0.2670584618289992,0.023942189044925583,0.0,0.0,45.03817578540126,32.4027933633762,0.8882969936372264,1.1205288802852742,4.450747334667635,15.086055665148209,0.5337072217242663,0.0,28.390693249789337
669,00863408,1.1722559353139572,0.0,0.04243805610445563,0.08574663643669497,10.869333357989834,11.902879021907843,0.5481584332909568,0.0,17.77357580180788,22.66946883896954,1.4910328008522236,0.5508068575528078,51.42395812611332
